Id,island,sex,species,bill_length,bill_depth,flipper_length,body_mass
197,Biscoe,MALE,Adelie,35.21,13.01,166.37,7270.98
71,Dream,FEMALE,Chinstrap,28.98,11.98,180.76,6336.87
238,Biscoe,FEMALE,Gentoo,41.54,3.94,238.23,4938.25
248,Biscoe,FEMALE,Gentoo,36.29,20.99,186.26,4539.23
169,Biscoe,MALE,Gentoo,29.4,16.2,254.73,2792.56
174,Dream,MALE,Adelie,45.48,15.84,138.57,4192.41
196,Torgersen,,Adelie,41.51,17.78,221.07,3990.66
118,Torgersen,FEMALE,Adelie,28.33,15.95,172.83,2874.59
184,Biscoe,FEMALE,Gentoo,48.34,6.83,264.65,4162.64
246,Biscoe,MALE,Adelie,22.69,17.44,165.1,4221.51
26,Dream,MALE,Chinstrap,47.64,21.01,212.32,7176.19
178,Dream,MALE,Adelie,38.12,21.53,176.86,5141.74
116,Biscoe,MALE,Gentoo,48.22,10.17,236.92,7906.69
231,Torgersen,MALE,Adelie,53.66,17.95,151.35,2148.82
147,Dream,FEMALE,Adelie,29.61,15.09,263.14,3931.18
139,Dream,MALE,Adelie,59.88,22.25,231.81,1927.29
78,Biscoe,MALE,Gentoo,63.19,14.97,178.52,8219.58
235,Biscoe,MALE,Gentoo,46.08,9.35,168.32,6575.01
195,Torgersen,MALE,Adelie,26.46,32.62,231.48,4323.15
171,Dream,FEMALE,Chinstrap,67.12,15.75,155.74,4039.99
232,Dream,FEMALE,Adelie,30.46,14.06,177.97,3506.48
198,Torgersen,FEMALE,Adelie,39.2,21.96,158.26,4926.71
35,Biscoe,MALE,Gentoo,43.63,19.27,166.47,7925.8
42,Biscoe,FEMALE,Adelie,27.78,20.74,182.89,-14.86
268,Dream,MALE,Chinstrap,90.48,22.02,179.42,9099.33
31,Torgersen,MALE,Adelie,38.38,18.9,177.35,4930.93
250,Biscoe,FEMALE,Adelie,6.13,16.4,251.65,5929.41
53,Biscoe,MALE,Adelie,30.64,21.43,164.92,4891.75
173,Dream,FEMALE,Chinstrap,65.81,25.79,208.55,4420.29
234,Dream,MALE,Chinstrap,61.06,22.79,186.48,3971.92
9,Biscoe,FEMALE,Gentoo,41.71,16.53,144.93,7712.22
117,Biscoe,MALE,Gentoo,63.43,12.04,259.02,6935.27
67,Biscoe,MALE,Gentoo,58.82,18.1,245.21,2991.22
151,Torgersen,FEMALE,Adelie,25.83,18.38,233.07,-168.87
20,Dream,MALE,Chinstrap,51.95,24.82,235.78,3593.19
37,Dream,FEMALE,Chinstrap,71.96,13.33,211.79,4264.05
137,Dream,FEMALE,Chinstrap,52.4,15.32,239.27,2264.77
32,Dream,MALE,Adelie,24.02,16.91,196.59,2799.02
119,Torgersen,MALE,Adelie,50.79,15.95,247.59,3443.49
176,Dream,FEMALE,Chinstrap,44.51,21.66,200.16,3915.99
125,Dream,FEMALE,Chinstrap,69.22,9.48,189.75,3609.02
245,Dream,FEMALE,Chinstrap,41.98,25.1,141.03,3810.08
105,Biscoe,FEMALE,Gentoo,51.15,18.36,255.5,4645.51
150,Dream,MALE,Chinstrap,51.6,21.4,217.14,5835.28
16,Torgersen,FEMALE,Adelie,48.24,18.9,216.79,5179.1
15,Dream,MALE,Adelie,39.02,11.99,217.96,15.56
2,Dream,FEMALE,Adelie,21.21,17.26,125.79,4673.81
52,Biscoe,FEMALE,Gentoo,64.7,7.52,231.86,4482.01
91,Dream,MALE,Chinstrap,64.73,17.05,207.2,1721.59
43,Dream,MALE,Adelie,31.96,24.14,142.9,430.54
205,Biscoe,MALE,Gentoo,52.48,13.49,196.82,4746.64
223,Torgersen,MALE,Adelie,28.89,28.36,169.67,3729.26
247,Dream,MALE,Adelie,19.48,28.5,210.12,4549.29
54,Biscoe,FEMALE,Gentoo,52.18,16.26,206.29,4286.98
140,Biscoe,MALE,Adelie,54.44,16.32,177.92,4008.17
160,Biscoe,,Gentoo,32.66,12.57,223.53,3289.11
